"tribal_code","state_code","county_code","site_number","si_id","parameter_code","dv_year","pollutant_standard_id","edt_id","latitude","longitude","tribe_name","state_name","address","city_name","county_name","local_site_name","local_site_id","urbanized_area","cbsa_name","parameter_name","unit_code","units_of_measure","pollutant_standard","naaqs_statistic","primary_standard_level","comparison_scale","design_value","dv_validity_ind","dv_max_year","dv_max_month","total_valid_months","dv_year_max_value","dv_year_max_month","dv_year_max_parameter","dv_year_valid_months","dv_year_certification_ind","year_1_max_value","year_1_max_month","year_1_max_parameter","year_1_valid_months","year_1_certification_ind","year_2_max_value","year_2_max_month","year_2_max_parameter","year_2_valid_months","year_2_certification_ind","select_date"
,"01","083","0005","96412","14129","2014","2","5","34.645848497198","-86.9473111969531",,"Alabama","US 31, Local On Calhoun Community College","Athens","Limestone","Pryor Field Lead Monitoring Site",,"Decatur, AL","Huntsville, AL","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".01","N","2012","5","10",,,,,,,,,,,".01","5","14129","10","Y","2014-03-01 00:00:00"
,"01","109","0003","314","14129","2014","2","5","31.7904790008453","-85.978974",,"Alabama","HENDERSON ROAD","Troy","Pike","TROY LEAD",,"Not in an urban area","Troy, AL","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2","1.3","Y","2012","1","36",".08","5","14129","12","Y",".26","2","14129","12","Y","1.3","1","14129","12","Y","2014-03-01 00:00:00"
,"01","109","0003","314","14129","2015","2","5","31.7904790008453","-85.978974",,"Alabama","HENDERSON ROAD","Troy","Pike","TROY LEAD",,"Not in an urban area","Troy, AL","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".26","Y","2013","2","36",".07","6","14129","12","Y",".08","5","14129","12","Y",".26","2","14129","12","Y","2015-03-01 00:00:00"
,"01","109","0003","314","14129","2016","2","5","31.7904790008453","-85.978974",,"Alabama","HENDERSON ROAD","Troy","Pike","TROY LEAD",,"Not in an urban area","Troy, AL","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".09","Y","2016","1","36",".09","1","14129","12","Y",".07","6","14129","12","Y",".08","5","14129","12","Y","2016-03-01 00:00:00"
,"01","109","0003","314","14129","2017","2","5","31.7904790008453","-85.978974",,"Alabama","HENDERSON ROAD","Troy","Pike","TROY LEAD",,"Not in an urban area","Troy, AL","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".09","Y","2017","3","36",".09","3","14129","12","Y",".09","1","14129","12","Y",".07","6","14129","12","Y","2017-03-01 00:00:00"
,"01","109","0003","314","14129","2018","2","5","31.7904790008453","-85.978974",,"Alabama","HENDERSON ROAD","Troy","Pike","TROY LEAD",,"Not in an urban area","Troy, AL","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".11","Y","2018","4","36",".11","4","14129","12","Y",".09","3","14129","12","Y",".09","1","14129","12","Y","2018-03-01 00:00:00"
,"01","109","0003","314","14129","2019","2","5","31.7904790008453","-85.978974",,"Alabama","HENDERSON ROAD","Troy","Pike","TROY LEAD",,"Not in an urban area","Troy, AL","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".16","Y","2019","12","36",".16","12","14129","12","Y",".11","4","14129","12","Y",".09","3","14129","12","Y","2019-03-01 00:00:00"
,"01","109","0003","314","14129","2020","2","5","31.7904790008453","-85.978974",,"Alabama","HENDERSON ROAD","Troy","Pike","TROY LEAD",,"Not in an urban area","Troy, AL","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".17","Y","2020","1","36",".17","1","14129","12","Y",".16","12","14129","12","Y",".11","4","14129","12","Y","2020-03-01 00:00:00"
,"01","109","0003","314","14129","2021","2","5","31.7904790008453","-85.978974",,"Alabama","HENDERSON ROAD","Troy","Pike","TROY LEAD",,"Not in an urban area","Troy, AL","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".17","Y","2020","1","36",".09","4","14129","12","Y",".17","1","14129","12","Y",".16","12","14129","12","Y","2021-03-01 00:00:00"
,"01","109","0003","314","14129","2022","2","5","31.7904790008453","-85.978974",,"Alabama","HENDERSON ROAD","Troy","Pike","TROY LEAD",,"Not in an urban area","Troy, AL","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".22","Y","2022","4","36",".22","4","14129","12","Y",".09","4","14129","12","Y",".17","1","14129","12","Y","2022-03-01 00:00:00"
,"01","109","0003","314","14129","2023","2","5","31.7904790008453","-85.978974",,"Alabama","HENDERSON ROAD","Troy","Pike","TROY LEAD",,"Not in an urban area","Troy, AL","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".22","Y","2022","4","33",".11","9","14129","9",,".22","4","14129","12","Y",".09","4","14129","12","Y","2023-03-01 00:00:00"
,"02","020","0051","96543","14129","2014","2","5","61.215497","-149.830175",,"Alaska","2811 Merrill Field Dr, Anchorage AK","Anchorage","Anchorage ","Merrill Field, Pb Monitoring Station",,"Anchorage, AK","Anchorage, AK","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".07","N","2012","8","10",,,,,,,,,,,".07","8","14129","10","Y","2014-03-01 00:00:00"
,"04","007","1002","96216","14129","2014","2","5","33.002516667","-110.765466667",,"Arizona","SR 77","Not in a city","Gila","Globe Highway","16593","Not in an urban area","Payson, AZ","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".2","Y","2012","4","36",".17","6","14129","12","S",".12","6","14129","12","S",".2","4","14129","12","S","2014-03-01 00:00:00"
,"04","007","1002","96216","14129","2015","2","5","33.002516667","-110.765466667",,"Arizona","SR 77","Not in a city","Gila","Globe Highway","16593","Not in an urban area","Payson, AZ","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".17","Y","2014","6","36",".12","8","14129","12","Y",".17","6","14129","12","S",".12","6","14129","12","S","2015-03-01 00:00:00"
,"04","007","1002","96216","14129","2016","2","5","33.002516667","-110.765466667",,"Arizona","SR 77","Not in a city","Gila","Globe Highway","16593","Not in an urban area","Payson, AZ","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".17","Y","2014","6","36",".14","5","14129","12","Y",".12","8","14129","12","Y",".17","6","14129","12","S","2016-03-01 00:00:00"
,"04","007","1002","96216","14129","2017","2","5","33.002516667","-110.765466667",,"Arizona","SR 77","Not in a city","Gila","Globe Highway","16593","Not in an urban area","Payson, AZ","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".21","Y","2017","6","36",".21","6","14129","12","Y",".14","5","14129","12","Y",".12","8","14129","12","Y","2017-03-01 00:00:00"
,"04","007","1002","96216","14129","2018","2","5","33.002516667","-110.765466667",,"Arizona","SR 77","Not in a city","Gila","Globe Highway","16593","Not in an urban area","Payson, AZ","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".21","Y","2017","6","36",".15","4","14129","12","Y",".21","6","14129","12","Y",".14","5","14129","12","Y","2018-03-01 00:00:00"
,"04","007","1002","96216","14129","2019","2","5","33.002516667","-110.765466667",,"Arizona","SR 77","Not in a city","Gila","Globe Highway","16593","Not in an urban area","Payson, AZ","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".21","Y","2017","6","36",".16","7","14129","12","Y",".15","4","14129","12","Y",".21","6","14129","12","Y","2019-03-01 00:00:00"
,"04","007","1002","96216","14129","2020","2","5","33.002516667","-110.765466667",,"Arizona","SR 77","Not in a city","Gila","Globe Highway","16593","Not in an urban area","Payson, AZ","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".16","Y","2019","7","34",".01","4","14129","10","Y",".16","7","14129","12","Y",".15","4","14129","12","Y","2020-03-01 00:00:00"
,"04","007","1002","96216","14129","2021","2","5","33.002516667","-110.765466667",,"Arizona","SR 77","Not in a city","Gila","Globe Highway","16593","Not in an urban area","Payson, AZ","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".16","Y","2019","7","33","0","1","14129","11","Y",".01","4","14129","10","Y",".16","7","14129","12","Y","2021-03-01 00:00:00"
,"04","007","1002","96216","14129","2022","2","5","33.002516667","-110.765466667",,"Arizona","SR 77","Not in a city","Gila","Globe Highway","16593","Not in an urban area","Payson, AZ","Lead (TSP) LC","105","Micrograms/cubic meter (LC)","Lead 3-Month 2009","3-Month Rolling Average",".15","2",".01","N","2022","5","32",".01","5","14129","11","Y","0","1","14129","11","Y",".01","4","14129","10","Y","2022-03-01 00:00:00"
