"mo_id","state_code","county_code","site_number","parameter_code","poc","sample_duration","pollutant_standard_id","pollutant_standard","dv_year","edt_id","design_value","observation_count","observation_percent","dv_validity_indicator","si_id","latitude","longitude","state_name","county_name","city_name","address","local_site_name","cbsa_name","epa_region","tribal_code","tribe_name","select_date"
"886086","01","073","2059","42602","1","1 HOUR","8","NO2 Annual 1971","2021","0","10.212486","8153","93","Y","97516","33.521427","-86.844112","Alabama","Jefferson","Birmingham","1110 5th Street West Birmingham, AL 35204","Arkadelphia/Near Road","Birmingham-Hoover, AL","04",,,"2021-01-01 00:00:00"
"886086","01","073","2059","42602","1","1 HOUR","8","NO2 Annual 1971","2022","0","8.491734","8347","95","Y","97516","33.521427","-86.844112","Alabama","Jefferson","Birmingham","1110 5th Street West Birmingham, AL 35204","Arkadelphia/Near Road","Birmingham-Hoover, AL","04",,,"2022-01-01 00:00:00"
"886086","01","073","2059","42602","1","1 HOUR","8","NO2 Annual 1971","2023","0","8.969709","5401","62","N","97516","33.521427","-86.844112","Alabama","Jefferson","Birmingham","1110 5th Street West Birmingham, AL 35204","Arkadelphia/Near Road","Birmingham-Hoover, AL","04",,,"2023-01-01 00:00:00"
"891079","02","090","0034","42602","1","1 HOUR","8","NO2 Annual 1971","2014","0","11.933555","4202","48","N","96405","64.84569","-147.727413","Alaska","Fairbanks North Star ","Fairbanks","809 Pioneer Road","NCORE","Fairbanks, AK","10",,,"2014-01-01 00:00:00"
"891079","02","090","0034","42602","1","1 HOUR","8","NO2 Annual 1971","2015","0","12.671854","8058","92","Y","96405","64.84569","-147.727413","Alaska","Fairbanks North Star ","Fairbanks","809 Pioneer Road","NCORE","Fairbanks, AK","10",,,"2015-01-01 00:00:00"
"891079","02","090","0034","42602","1","1 HOUR","8","NO2 Annual 1971","2016","0","13.415753","7535","86","Y","96405","64.84569","-147.727413","Alaska","Fairbanks North Star ","Fairbanks","809 Pioneer Road","NCORE","Fairbanks, AK","10",,,"2016-01-01 00:00:00"
"891079","02","090","0034","42602","1","1 HOUR","8","NO2 Annual 1971","2017","0","12.569094","8157","93","Y","96405","64.84569","-147.727413","Alaska","Fairbanks North Star ","Fairbanks","809 Pioneer Road","NCORE","Fairbanks, AK","10",,,"2017-01-01 00:00:00"
"891079","02","090","0034","42602","1","1 HOUR","8","NO2 Annual 1971","2018","0","11.618211","8050","92","Y","96405","64.84569","-147.727413","Alaska","Fairbanks North Star ","Fairbanks","809 Pioneer Road","NCORE","Fairbanks, AK","10",,,"2018-01-01 00:00:00"
"891079","02","090","0034","42602","1","1 HOUR","8","NO2 Annual 1971","2019","0","9.223999","4771","54","N","96405","64.84569","-147.727413","Alaska","Fairbanks North Star ","Fairbanks","809 Pioneer Road","NCORE","Fairbanks, AK","10",,,"2019-01-01 00:00:00"
"748347","04","012","8000","42602","1","1 HOUR","8","NO2 Annual 1971","2014","0",".745319","4144","47","N","92449","34.2439","-113.5586","Arizona","La Paz","Wenden","ALAMO LAKE STATE PARK","ALAMO LAKE",,"09",,,"2014-01-01 00:00:00"
"748347","04","012","8000","42602","1","1 HOUR","8","NO2 Annual 1971","2015","0","1.355482","8264","94","Y","92449","34.2439","-113.5586","Arizona","La Paz","Wenden","ALAMO LAKE STATE PARK","ALAMO LAKE",,"09",,,"2015-01-01 00:00:00"
"748347","04","012","8000","42602","1","1 HOUR","8","NO2 Annual 1971","2016","0","1.224261","4295","49","N","92449","34.2439","-113.5586","Arizona","La Paz","Wenden","ALAMO LAKE STATE PARK","ALAMO LAKE",,"09",,,"2016-01-01 00:00:00"
"6446","04","013","0019","42602","1","1 HOUR","8","NO2 Annual 1971","2014","0","17.966007","8590","98","Y","575","33.48378","-112.14256","Arizona","Maricopa","Phoenix","3847 W EARLL DR-WEST PHOENIX STATION","WEST PHOENIX","Phoenix-Mesa-Scottsdale, AZ","09",,,"2014-01-01 00:00:00"
